# インポート用テンプレート
# 使い方:
#   1. ワクワク列に利用可能なワクワくの実の名前を入力してください
#   2. 不要な行は削除してください
#   3. 保存後、アカウントページの「インポート」ボタンからアップロードしてください
# 利用可能なワクワくの実: 同族・加撃, 同族・加撃速, 同族・加命撃, 同族・加速, 同族・加命, 同族・加速命, 撃種・加撃, 撃種・加撃速, 撃種・加命撃, 撃種・加速, 撃種・加命, 撃種・加速命, 戦型・加撃, 戦型・加撃速, 戦型・加命撃, 戦型・加速, 戦型・加命, 戦型・加速命, 熱き友撃, ケガ減り, 将命削り, 兵命削り, 一撃失心, 速必殺, 毒がまん, ちび癒し, ハート, 学び, 荒稼ぎ, スピクリ, Sランク, スコア稼ぎ
図鑑No,名前,属性,種類,アカウント,わくわく1,わくわく2,わくわく3
5893,"ハムレット",闇,恒常,,,,
5902,"アンドロメダ",木,限定,,,,
5911,"ホロホロ",水,コラボ,,,,
5913,"麻倉 葉",木,コラボ,,,,
5917,"道 蓮",闇,コラボ,,,,
5942,"ハリケーン",火,恒常,,,,
5944,"カーム",水,恒常,,,,
5946,"ウィンディ",木,恒常,,,,
5959,"帰蝶",闇,限定,,,,
5964,"マルタα",火,α,,,,
5966,"神農α",木,α,,,,
5968,"ニュートンα",光,α,,,,
5982,"骸",火,限定,,,,
5989,"ネオ",水,限定,,,,
5999,"大千鳥十文字槍",火,恒常,,,,
6001,"クラウ・ソラス",水,恒常,,,,
6003,"カドゥケウス・ロッド",闇,恒常,,,,
6019,"ベネットα",水,α,,,,
6021,"ラプラスα",光,α,,,,
6023,"ヴォーパルソードα",闇,α,,,,
6035,"乙骨憂太",光,コラボ,,,,
6049,"プラトン",火,恒常,,,,
6051,"キェルケゴール",水,恒常,,,,
6053,"ニーチェ",木,恒常,,,,
6062,"包青天",火,限定,,,,
6064,"劉邦",木,限定,,,,
6080,"木崎レイジ",木,コラボ,,,,
6082,"烏丸京介",光,コラボ,,,,
6084,"忍田真史",闇,コラボ,,,,
6108,"ピリカ",水,限定,,,,
6120,"アポロン",火,恒常,,,,
6122,"イリス",水,恒常,,,,
6124,"ヘパイストス",闇,恒常,,,,
6133,"ポラリス",木,限定,,,,
6148,"煉獄杏寿郎",火,コラボ,,,,
6152,"竈門禰豆子",木,コラボ,,,,
6154,"宇髄天元",光,コラボ,,,,
6181,"ルイス・フロイス",水,恒常,,,,
6183,"お市",木,恒常,,,,
6185,"浅井長政",闇,恒常,,,,
6200,"ルナ",闇,限定,,,,
6205,"李信α",火,α,,,,
6207,"アナスタシアα",木,α,,,,
6209,"エルマ・ルー＆コニィ・ルーα",光,α,,,,
6229,"江戸川コナン",水,コラボ,,,,
6233,"安室透",光,コラボ,,,,
6235,"赤井秀一",闇,コラボ,,,,
6259,"額田王",火,恒常,,,,
6261,"中臣鎌足",木,恒常,,,,
6263,"小野妹子",闇,恒常,,,,
6275,"聖徳太子",火,限定,,,,
6281,"ヨル・フォージャー",火,コラボ,,,,
6283,"ロイド・フォージャー",水,コラボ,,,,
6285,"アーニャ・フォージャー",光,コラボ,,,,
6291,"デイゴ",水,恒常,,,,
6293,"プロテア",木,恒常,,,,
6295,"ブーゲンビリア",闇,恒常,,,,
6307,"ジャック・ザ・リッパー",光,限定,,,,
6339,"オニャンコポンα",火,α,,,,
6341,"フランクリンα",光,α,,,,
6343,"オフィーリアα",闇,α,,,,
6361,"アビス",闇,限定,,,,
6364,"イドーラ",火,恒常,,,,
6366,"ウボ＝サスラ",水,恒常,,,,
6368,"シュブ＝ニグラス",木,恒常,,,,
6389,"えび天娘。",木,限定,,,,
6413,"空条徐倫",木,コラボ,,,,
6415,"空条承太郎",光,コラボ,,,,
6417,"ウェザー・リポート",闇,コラボ,,,,
6439,"死者の書",水,恒常,,,,
6441,"マビノギオン",光,恒常,,,,
6443,"東海道中膝栗毛",闇,恒常,,,,
6455,"ちはや",水,限定,,,,
6465,"モンキー・D・ルフィ",火,コラボ,,,,
6467,"ポートガス・D・エース",火,コラボ,,,,
6471,"ヤマト",水,コラボ,,,,
6473,"ロロノア・ゾロ",木,コラボ,,,,
6479,"サボ",光,コラボ,,,,
6481,"サンジ",闇,コラボ,,,,
6502,"ファイヤーエンブレム",火,コラボ,,,,
6504,"ブルーローズ",水,コラボ,,,,
6506,"ワイルドタイガー",木,コラボ,,,,
6534,"ピニャコラーダ",木,恒常,,,,
6536,"プルケ",光,恒常,,,,
6538,"スピリタス",闇,恒常,,,,
6553,"アルスラーン",火,限定,,,,
6560,"佐倉杏子",火,コラボ,,,,
6566,"鹿目まどか",光,コラボ,,,,
6569,"暁美ほむら",闇,コラボ,,,,
6606,"須ノ花蓮治郎",水,恒常,,,,
6608,"小桐さくの",木,恒常,,,,
6610,"電堂りるる",闇,恒常,,,,
6625,"シュレディンガー",光,限定,,,,
6633,"パワー",火,コラボ,,,,
6635,"早川アキ",水,コラボ,,,,
6639,"デンジ",光,コラボ,,,,
6661,"ヨルズ",火,恒常,,,,
6663,"ミーミル",木,恒常,,,,
6665,"テュール",光,恒常,,,,
6680,"バビロン",闇,限定,,,,
6683,"ゲオルギオス",水,恒常,,,,
6685,"坂上田村麻呂",木,恒常,,,,
6687,"テセウス",闇,恒常,,,,
6700,"ファウスト",火,限定,,,,
6707,"ラムα",水,コラボ,,,,
6709,"レムα",木,コラボ,,,,
6711,"エミリアα",闇,コラボ,,,,
6736,"ヤクモ",木,限定,,,,
6746,"浄玻璃鏡",火,恒常,,,,
6748,"ガラティーン",光,恒常,,,,
6750,"ハーメルンパイプ",闇,恒常,,,,
6761,"バナージ・リンクス",火,コラボ,,,,
6763,"キラ・ヤマト",水,コラボ,,,,
6767,"アムロ・レイ",光,コラボ,,,,
6793,"ネプトゥーヌス",水,恒常,,,,
6795,"ディアナ",木,恒常,,,,
6797,"サトゥルヌス",闇,恒常,,,,
6806,"鍾馗",光,限定,,,,
6814,"ヴァン・ホーエンハイム",火,コラボ,,,,
6816,"オリヴィエ",水,コラボ,,,,
6820,"リザ＆ロイ",光,コラボ,,,,
6853,"白蛇伝",木,恒常,,,,
6855,"スノッリのエッダ",光,恒常,,,,
6857,"解体新書",闇,恒常,,,,
6870,"メモリー",闇,限定,,,,
6875,"ベニマル",火,コラボ,,,,
6877,"リムル",水,コラボ,,,,
6883,"シオン",闇,コラボ,,,,
6913,"福島正則",水,恒常,,,,
6915,"ねね",木,恒常,,,,
6917,"島左近",光,恒常,,,,
6927,"四宮 かぐや",火,コラボ,,,,
6929,"早坂 愛",光,コラボ,,,,
6931,"白銀御行",闇,コラボ,,,,
6936,"ウボ・サスラα",火,α,,,,
6938,"アルスラーンα",水,α,,,,
6940,"ブーゲンビリアα",木,α,,,,
6961,"ミカサアルミン",火,コラボ,,,,
6963,"ジャンコニー",水,コラボ,,,,
6967,"ハンジリヴァイ",光,コラボ,,,,
6995,"ブラダマンテ",木,恒常,,,,
6997,"アストルフォ",光,恒常,,,,
6999,"ローラン",闇,恒常,,,,
7039,"シャルルマーニュ",水,限定,,,,
7049,"キリンジ",光,限定,,,,
7052,"小桐さくのα",水,α,,,,
7054,"アルセーヌα",光,α,,,,
7056,"ローレライα",闇,α,,,,
7067,"ミューズ",木,限定,,,,
7073,"タルウィ＆ザリチュ",火,恒常,,,,
7075,"アンラ・マンユ",水,恒常,,,,
7077,"アカ・マナフ",木,恒常,,,,
7093,"画眉丸",火,コラボ,,,,
7095,"山田浅ェ門　佐切",木,コラボ,,,,
7097,"亜左弔兵衛",光,コラボ,,,,
7103,"アルデバラン",火,恒常,,,,
7105,"アルビレオ",水,恒常,,,,
7107,"プロキオン",闇,恒常,,,,
7127,"キル×ユア×アイドル",火,限定,,,,
7148,"時透無一郎",水,コラボ,,,,
7150,"甘露寺蜜璃",木,コラボ,,,,
7152,"竈門炭次郎＆竈門禰󠄀豆子",光,コラボ,,,,
7177,"泡盛",火,恒常,,,,
7179,"シードル",光,恒常,,,,
7181,"モスコミュール",闇,恒常,,,,
7193,"サトリ",光,限定,,,,
7200,"シノンα",水,コラボ,,,,
7202,"アリス・シンセシス・サーティα",木,コラボ,,,,
7204,"アスナα",闇,コラボ,,,,
7228,"信",水,コラボ,,,,
7232,"羌瘣",光,コラボ,,,,
7234,"王騎",闇,コラボ,,,,
7255,"モンゴルフィエ姉妹",火,恒常,,,,
7257,"フーコー",水,恒常,,,,
7259,"モールス",木,恒常,,,,
7272,"新島八重",木,限定,,,,
7282,"佐野万次郎",火,コラボ,,,,
7288,"三ツ谷隆",光,コラボ,,,,
7290,"龍宮寺堅",闇,コラボ,,,,
7335,"空条承太郎SC",水,コラボ,,,,
7337,"花京院典明",木,コラボ,,,,
7339,"ジャン・ピエール・ポルナレフ",光,コラボ,,,,
7366,"マギア",闇,限定,,,,
7371,"ヒヤシンス",火,恒常,,,,
7373,"スノードロップ",木,恒常,,,,
7375,"クロッカス",闇,恒常,,,,
7389,"クリムト",光,限定,,,,
7395,"ベータ",水,コラボ,,,,
7399,"アルファ",光,コラボ,,,,
7401,"シャドウ",闇,コラボ,,,,
7422,"篤姫",火,恒常,,,,
7426,"緒方洪庵",木,恒常,,,,
7441,"sinギルティ",水,限定,,,,
7442,"大久保利通",水,恒常,,,,
7446,"アーニャ・フォージャーα",火,コラボ,,,,
7448,"ロイド・フォージャーα",木,コラボ,,,,
7450,"ヨル・フォージャーα",光,コラボ,,,,
7462,"水戸光圀",闇,限定,,,,
7480,"マサムネ",火,限定,,,,
7488,"シーター",水,恒常,,,,
7490,"ラーマ",光,恒常,,,,
7492,"ビーマ",闇,恒常,,,,
7510,"釘崎野薔薇",火,コラボ,,,,
7512,"冥冥",水,コラボ,,,,
7514,"伏黒恵",木,コラボ,,,,
7540,"薄墨",火,恒常,,,,
7542,"冷艶鋸",水,恒常,,,,
7544,"ジョワユーズ",光,恒常,,,,
7553,"タルタロス",木,限定,,,,
7559,"月下老人",水,限定,,,,
7568,"アスラン",木,コラボ,,,,
7570,"キラ＆ラクス",光,コラボ,,,,
7572,"シン",闇,コラボ,,,,
7591,"オデュッセイア",火,恒常,,,,
7593,"金枝篇",木,恒常,,,,
7595,"羅生門",闇,恒常,,,,
7607,"ゲキリン",光,限定,,,,
7613,"新門紅丸",火,コラボ,,,,
7619,"アーサー（コラボ）",光,コラボ,,,,
7621,"森羅日下部",闇,コラボ,,,,
7643,"塚原卜伝",水,恒常,,,,
7645,"富田勢源",木,恒常,,,,
7647,"源為朝",光,恒常,,,,
7659,"シュタルク",火,コラボ,,,,
7661,"フェルン",木,コラボ,,,,
7663,"フリーレン",光,コラボ,,,,
7671,"メモリーα",水,α,,,,
7673,"テセウスα",木,α,,,,
7675,"アルビレオα",闇,α,,,,
7693,"桐嶋董香",火,コラボ,,,,
7695,"鈴屋什造",水,コラボ,,,,
7701,"金木研",闇,コラボ,,,,
7722,"ジャヒー",火,恒常,,,,
7724,"タローマティ",水,恒常,,,,
7726,"サルワ",木,恒常,,,,
7735,"星霜",闇,限定,,,,
7770,"ナイトメア",木,限定,,,,
7775,"ダルタニャンα",木,α,,,,
7777,"モスコミュールα",光,α,,,,
7779,"モンゴルフィエ姉妹α",闇,α,,,,
7793,"日々野カフカ",火,コラボ,,,,
7799,"四ノ宮キコル",光,コラボ,,,,
7801,"保科宗四郎",闇,コラボ,,,,
7823,"マムル",水,恒常,,,,
7825,"ラクリィ",木,恒常,,,,
7827,"むーすたン",光,恒常,,,,
7841,"モンテ・クリスト",火,限定,,,,
7854,"さよならグラビティ",水,限定,,,,
7865,"ルビー（コラボ）",火,コラボ,,,,
7869,"有馬かな",木,コラボ,,,,
7873,"アクア",闇,コラボ,,,,
7902,"ゲキリンα",火,α,,,,
7904,"モールスα",光,α,,,,
7906,"島左近α",闇,α,,,,
7920,"鹿目まどかα",水,α,,,,
7922,"暁美ほむらα",木,α,,,,
7924,"佐倉杏子α",光,α,,,,
7940,"ルミナス",光,限定,,,,
7944,"雛衣",火,恒常,,,,
7946,"犬村大角",木,恒常,,,,
7948,"犬飼現八",闇,恒常,,,,
7966,"サンラク",水,コラボ,,,,
7970,"オイカッツォ",光,コラボ,,,,
7972,"アーサー・ペンシルゴン",闇,コラボ,,,,
7991,"久遠",水,限定,,,,
8018,"ドモン・ガッシュ＆シャイニングガンダム",火,コラボ,,,,
8022,"スレッタ・マーキュリー＆ガンダム・エアリアル（改修型）",木,コラボ,,,,
8026,"シーブック・アノー＆ガンダムF９１",闇,コラボ,,,,
8046,"三途",闇,限定,,,,
8050,"ドン・ジョヴァンニ",火,恒常,,,,
8052,"トゥーランドット",水,恒常,,,,
8054,"アイーダ",光,恒常,,,,
8068,"中野一花",光,コラボ,,,,
8070,"中野二乃",闇,コラボ,,,,
8072,"中野三玖",水,コラボ,,,,
8074,"中野四葉",木,コラボ,,,,
8076,"中野五月",火,コラボ,,,,
8083,"サワロ",木,恒常,,,,
8085,"マリーゴールド",光,恒常,,,,
8087,"ルピナス",闇,恒常,,,,
8100,"ディアボロス",火,限定,,,,
8105,"朝野太陽＆夜桜六美",火,コラボ,,,,
8107,"夜桜二刃",水,コラボ,,,,
8113,"夜桜凶一郎",闇,コラボ,,,,
8134,"ナイトメアα",水,α,,,,
8136,"オデュッセイアα",木,α,,,,
8138,"塚原卜伝α",光,α,,,,
8151,"ヴァニタス",木,限定,,,,
8156,"御坂美琴",火,コラボ,,,,
8162,"食蜂操祈",光,コラボ,,,,
8164,"白井黒子",闇,コラボ,,,,
8183,"マジカル☆メルルンず",闇,限定,,,,
8196,"エル",光,限定,,,,
8205,"物干し竿",水,恒常,,,,
8207,"アダマス・ハルパー",木,恒常,,,,
8209,"アンキレー",闇,恒常,,,,
8222,"グイード・ミスタ",火,コラボ,,,,
8224,"ブローノ・ブチャラティ",水,コラボ,,,,
8230,"ジョルノ・ジョバァーナ",闇,コラボ,,,,
8256,"盤古",闇,限定,,,,
8261,"ラムゼー",火,恒常,,,,
8263,"セルシウス",水,恒常,,,,
8265,"レントゲン",光,恒常,,,,
8291,"ヴェルドラ＝テンペスト",木,コラボ,,,,
8293,"ミリム",光,コラボ,,,,
8295,"ディアブロ",闇,コラボ,,,,
8318,"島津豊久",火,恒常,,,,
8320,"大友宗麟",木,恒常,,,,
8322,"立花道雪",光,恒常,,,,
8333,"ルネサンス",水,限定,,,,
8340,"紅月カレン",火,コラボ,,,,
8342,"枢木スザク",水,コラボ,,,,
8348,"ルルーシュ・ランペルージ",闇,コラボ,,,,
8372,"源為朝α",水,α,,,,
8374,"フーコーα",木,α,,,,
8376,"ラファエルα",闇,α,,,,
8391,"ノノア",水,コラボ,,,,
8395,"天乃リリサ",光,コラボ,,,,
8397,"橘美花莉",闇,コラボ,,,,
8425,"工藤新一&毛利蘭",火,コラボ,,,,
8429,"服部平次&遠山和葉",木,コラボ,,,,
8433,"江戸川コナン&怪盗キッド",闇,コラボ,,,,
8458,"カストル&ポルックス",火,恒常,,,,
8460,"フォーマルハウト",水,恒常,,,,
8462,"アルファルド",光,恒常,,,,
8471,"エトワール",木,限定,,,,
8477,"喜多郁代",火,コラボ,,,,
8479,"山田リョウ",水,コラボ,,,,
8481,"伊地知虹夏",光,コラボ,,,,
8489,"三途α",木,α,,,,
8491,"物干し竿α",光,α,,,,
8493,"機光院チヨα",闇,α,,,,
8512,"猫猫",木,コラボ,,,,
8514,"壬氏",闇,コラボ,,,,
8529,"メビウス",火,限定,,,,
8532,"アイオワ",火,恒常,,,,
8534,"チハ",光,恒常,,,,
8536,"ナイトホーク",闇,恒常,,,,
8550,"いろは",闇,限定,,,,
8564,"ヤバい女子高生たち、",光,限定,,,,
8584,"シュウジ・イトウ",火,コラボ,,,,
8586,"マチュ",水,コラボ,,,,
8592,"ニャアン",闇,コラボ,,,,
8609,"Two for all α",水,α,,,,
8611,"マムルα",木,α,,,,
8613,"ラクリィα",光,α,,,,
8629,"パンサー　高巻杏",火,コラボ,,,,
8635,"クイーン　新島真",光,コラボ,,,,
8636,"ジョーカー　雨宮蓮",闇,コラボ,,,,
8657,"ニケ",木,限定,,,,
8664,"ルルネーヴェ",火,恒常,,,,
8666,"バービッド",水,恒常,,,,
8668,"リリネーヴェ",木,恒常,,,,
8680,"エリス",火,限定,,,,
8687,"羽川翼",水,コラボ,,,,
8691,"忍野忍",光,コラボ,,,,
8693,"戦場ヶ原ひたぎ",闇,コラボ,,,,
8720,"アンドロイドダイナー",水,限定,,,,
8738,"オカルン",火,コラボ,,,,
8742,"モモ",木,コラボ,,,,
8746,"ジジ",闇,コラボ,,,,
8768,"ストレリチア",水,恒常,,,,
8770,"スカドクサス",木,恒常,,,,
8772,"ガーベラ",光,恒常,,,,
